stop_id,boardings,alightings,location
111,163.9,187.7,"{'latitude': '41.87740942', 'longitude': '-87.67635136'}"
118,8.6,9.3,"{'latitude': '41.87755894', 'longitude': '-87.69097077'}"
119,24,41.4,"{'latitude': '41.87752503', 'longitude': '-87.69403232'}"
120,95.3,98.5,"{'latitude': '41.87749585', 'longitude': '-87.69648347'}"
121,64.2,57.5,"{'latitude': '41.87747326', 'longitude': '-87.6987788'}"
122,44.1,60.3,"{'latitude': '41.87744329', 'longitude': '-87.70133446'}"
123,17.5,31.1,"{'latitude': '41.87740982', 'longitude': '-87.70378269'}"
124,190.4,129.8,"{'latitude': '41.87739519', 'longitude': '-87.70627812'}"
125,5.3,15.8,"{'latitude': '41.8773701', 'longitude': '-87.70855292'}"
126,87.1,104.5,"{'latitude': '41.87735315', 'longitude': '-87.71111733'}"
127,11.5,23.6,"{'latitude': '41.87730566', 'longitude': '-87.71365567'}"
128,35.7,26.9,"{'latitude': '41.87701673', 'longitude': '-87.7158695'}"
129,27.5,51.2,"{'latitude': '41.8772105', 'longitude': '-87.72104802'}"
130,12.1,51.4,"{'latitude': '41.8771684', 'longitude': '-87.72332492'}"
131,133.5,165.1,"{'latitude': '41.87713666', 'longitude': '-87.72579473'}"
132,18.8,37.9,"{'latitude': '41.87710765', 'longitude': '-87.72819551'}"
133,16,35,"{'latitude': '41.87707727', 'longitude': '-87.73064873'}"
134,25.8,65.8,"{'latitude': '41.8770945', 'longitude': '-87.73310614'}"
135,27,76.4,"{'latitude': '41.87701751', 'longitude': '-87.73555571'}"
136,18.5,57.2,"{'latitude': '41.87698719', 'longitude': '-87.737991'}"
137,4.6,14.2,"{'latitude': '41.87696338', 'longitude': '-87.73943465'}"
138,5,15.2,"{'latitude': '41.87696546', 'longitude': '-87.74069588'}"
139,38.9,242.1,"{'latitude': '41.87692666', 'longitude': '-87.74280741'}"
140,0.2,1.7,"{'latitude': '41.87685893', 'longitude': '-87.74541898'}"
141,0,0,"{'latitude': '41.87682102', 'longitude': '-87.74713903'}"
142,0,0,"{'latitude': '41.87680393', 'longitude': '-87.74934028'}"
143,0,0,"{'latitude': '41.87675729', 'longitude': '-87.75161217'}"
144,0,0,"{'latitude': '41.87672858', 'longitude': '-87.75353528'}"
145,59.1,172.9,"{'latitude': '41.87673038', 'longitude': '-87.75523999'}"
146,14.3,92,"{'latitude': '41.8766768', 'longitude': '-87.75782934'}"
147,4.8,31.7,"{'latitude': '41.87664899', 'longitude': '-87.75967824'}"
148,13.4,90.9,"{'latitude': '41.87661212', 'longitude': '-87.76154549'}"
149,15.9,191.3,"{'latitude': '41.87660365', 'longitude': '-87.76459825'}"
